pokedex_number,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying
654,0.5,1,1,1,0.5,1,0.5,1
655,1,2,1,1,0.5,0.5,0.5,1
656,1,1,1,2,1,1,0.5,1
657,1,1,1,2,1,1,0.5,1
658,2,0.5,1,2,2,2,0.5,1
659,1,1,1,1,1,2,1,1
660,1,1,1,0,1,2,1,1
661,0.5,1,1,2,1,1,1,1
662,0.25,1,1,2,0.5,0.5,0.5,1
663,0.25,1,1,2,0.5,0.5,0.5,1
664,1,1,1,1,1,0.5,2,2
665,1,1,1,1,1,0.5,2,2
666,0.5,1,1,2,1,0.25,2,2
667,0.5,1,1,1,0.5,2,0.5,1
668,0.5,1,1,1,0.5,2,0.5,1
669,0.5,0.5,0,1,1,0.5,1,1
670,0.5,0.5,0,1,1,0.5,1,1
671,0.5,0.5,0,1,1,0.5,1,1
672,2,1,1,0.5,1,1,2,2
673,2,1,1,0.5,1,1,2,2
674,0.5,0.5,1,1,2,1,1,2
675,1,0.25,1,1,4,2,1,2
676,1,1,1,1,1,2,1,1
677,2,2,1,1,1,0.5,1,1
678,2,2,1,1,1,0.5,1,1
679,0.25,2,0.5,1,0.5,0,2,0.5
680,0.25,2,0.5,1,0.5,0,2,0.5
681,0.25,2,0.5,1,0.5,0,2,0.5
682,0.5,0.5,0,1,1,0.5,1,1
683,0.5,0.5,0,1,1,0.5,1,1
684,0.5,0.5,0,1,1,0.5,1,1
685,0.5,0.5,0,1,1,0.5,1,1
686,4,1,1,1,2,1,1,1
687,4,1,1,1,2,1,1,1
688,1,1,1,2,1,2,0.25,0.5
689,1,1,1,2,1,2,0.25,0.5
690,0.5,1,1,2,0.5,0.5,0.5,1
691,0.5,1,2,0.5,1,0.5,0.5,1
692,1,1,1,2,1,1,0.5,1
693,1,1,1,2,1,1,0.5,1
694,1,1,1,0.5,1,2,1,0.5
695,1,1,1,0.5,1,2,1,0.5
696,1,1,2,0.5,2,2,0.25,0.5
697,1,1,2,0.5,2,2,0.25,0.5
698,1,1,1,1,1,4,1,0.5
699,1,1,1,1,1,4,1,0.5
700,0.5,0.5,0,1,1,0.5,1,1
701,0.25,0.5,1,2,2,0.5,1,2
702,0.5,0.5,0,0.5,1,0.5,1,0.5
703,0.5,0.5,0,1,1,1,0.5,0.5
704,1,1,2,0.5,2,1,0.5,1
705,1,1,2,0.5,2,1,0.5,1
706,1,1,2,0.5,2,1,0.5,1
707,0.25,0.5,0,1,0.5,1,2,0.5
708,1,2,1,0.5,1,0,2,2
709,1,2,1,0.5,1,0,2,2
710,1,2,1,0.5,1,0,2,2
711,1,2,1,0.5,1,0,2,2
712,1,1,1,1,1,2,2,1
713,1,1,1,1,1,2,2,1
714,0.5,1,2,1,2,0.5,0.5,1
715,0.5,1,2,1,2,0.5,0.5,1
716,0.5,0.5,0,1,1,0.5,1,1
717,1,0.5,1,2,2,1,1,1
718,1,1,2,0,2,1,0.5,1
719,0.5,0.5,0,1,1,1,0.5,0.5
720,1,4,1,1,1,0,1,1
721,0.5,1,1,2,0.5,1,0.25,1
722,1,1,1,1,1,0.5,2,2
723,1,1,1,1,1,0.5,2,2
724,1,2,1,0.5,1,0,2,2
725,0.5,1,1,1,0.5,1,0.5,1
726,0.5,1,1,1,0.5,1,0.5,1
727,1,0.5,1,1,1,2,0.5,1
728,1,1,1,2,1,1,0.5,1
729,1,1,1,2,1,1,0.5,1
730,0.5,0.5,0,2,1,0.5,0.5,1
731,0.5,1,1,2,1,1,1,1
732,0.5,1,1,2,1,1,1,1
733,0.5,1,1,2,1,1,1,1
734,1,1,1,1,1,2,1,1
735,1,1,1,1,1,2,1,1
736,1,1,1,1,1,0.5,2,2
737,1,1,1,0.5,1,0.5,2,1
738,1,1,1,0.5,1,0.5,2,1
739,0.5,0.5,1,1,2,1,1,2
740,0.5,0.5,1,1,2,2,2,2
741,0.25,1,1,2,0.5,0.5,0.5,1
742,0.5,0.5,0,1,1,0.25,2,2
743,0.5,0.5,0,1,1,0.25,2,2
744,1,1,1,1,1,2,0.5,0.5
745,1,1,1,1,1,2,0.5,0.5
746,1,1,1,2,1,1,0.5,1
747,0.5,1,1,2,0.5,0.5,0.5,1
748,0.5,1,1,2,0.5,0.5,0.5,1
749,1,1,1,0,1,1,1,1
750,1,1,1,0,1,1,1,1
751,1,1,1,2,1,0.5,1,2
752,1,1,1,2,1,0.5,1,2
753,2,1,1,0.5,1,1,2,2
754,2,1,1,0.5,1,1,2,2
755,1,0.5,0,0.5,1,0.5,2,2
756,1,0.5,0,0.5,1,0.5,2,2
757,0.25,1,1,1,0.25,0.5,0.5,1
758,0.25,1,1,1,0.25,0.5,0.5,1
759,0.5,0.5,1,1,2,2,1,2
760,0.5,0.5,1,1,2,2,1,2
761,2,1,1,0.5,1,1,2,2
762,2,1,1,0.5,1,1,2,2
763,2,1,1,0.5,1,1,2,2
764,0.5,0.5,0,1,1,0.5,1,1
765,2,2,1,1,1,1,1,1
766,0.5,0.5,1,1,2,1,1,2
767,1,1,1,2,1,0.5,1,2
768,1,1,1,2,1,0.5,1,2
769,0.5,2,1,0,1,0,1,1
770,0.5,2,1,0,1,0,1,1
771,1,1,1,2,1,1,0.5,1
772,1,1,1,1,1,2,1,1
773,1,1,1,1,1,2,1,1
774,0.5,1,1,2,1,1,0.5,0.5
775,1,1,1,1,1,2,1,1
776,0.5,1,2,0.5,1,1,0.25,1
777,0.5,1,0.5,0.5,0.5,2,2,0.25
778,0.25,1,0,1,1,0,1,1
779,2,2,1,2,1,0.5,0.5,1
780,1,1,2,0.5,2,2,0.5,1
781,1,2,1,0.5,1,0,2,2
782,1,1,2,0.5,2,1,0.5,1
783,0.5,0.5,2,0.5,4,1,0.5,2
784,0.5,0.5,2,0.5,4,1,0.5,2
785,0.5,0.5,0,0.5,1,0.5,1,0.5
786,1,1,0,1,1,0.25,1,1
787,1,0.5,0,0.5,1,0.5,2,2
788,0.5,0.5,0,2,1,0.5,0.5,1
789,2,2,1,1,1,0.5,1,1
790,2,2,1,1,1,0.5,1,1
791,1,2,0.5,1,0.5,1,2,0.5
792,1,4,1,1,1,0,1,1
793,0.5,1,1,1,0.5,1,0.5,0.5
794,0.5,0.5,1,1,2,0.5,2,4
795,0.5,0.5,1,1,2,0.5,2,4
796,1,1,1,0.5,1,1,1,0.5
797,0.25,1,0.5,2,0.5,1,2,0.5
798,1,1,0.5,0.5,0.5,2,4,1
799,2,0.5,2,0.5,4,2,0.5,1
800,2,2,1,1,1,0.5,1,1
801,0.25,0.5,0,1,0.5,1,2,0.5
